20190504,浦东,金杨,6号线距离200米双南全明通透户型+精装修税费低随时看,318万,金杨新村三街坊  | 2室1厅 | 60.75平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/0ba53f21-b7ee-46a2-b12f-fcfce2e45db0.jpg.296x216.jpg
20190504,浦东,金杨,金杨新村十一街坊、一梯两户得房率高，不临街,495万,金杨新村十一街坊  | 2室2厅 | 88.43平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-6fcc26ff-4117-4b05-9c39-09f95e2064c8.png.296x216.jpg
20190504,浦东,金杨,正规小区全明双南采光好房型佳得房率高地铁口精装！,318万,香山新村东北街坊  | 2室1厅 | 63.29平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-742cd7bf-db6a-4ed1-bfcf-63e85b931031.jpeg.296x216.jpg
20190504,浦东,金杨,仁和花苑 1室2厅 430万,430万,仁和花苑  | 1室2厅 | 79平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-18118850-514a-4492-bb45-e9be3d9d04f9.png.296x216.jpg
20190504,浦东,金杨,精装修南北两房，位置安静，采光十足，视野无遮挡,720万,弘扬公寓  | 2室1厅 | 99.6平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f66d9208-eda5-4dfd-b135-c4d3c7f9e8c4.jpg.296x216.jpg
20190504,浦东,金杨,前后无遮挡，全明一梯两户，满五唯一,600万,昕泰苑  | 2室1厅 | 101.93平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a0221ef6-8521-40c0-8675-5099dcabbeb9.jpg.296x216.jpg
20190504,浦东,金杨,一梯两户，房东急售，空间很大，接受置换，看房随时,325万,罗山五村  | 2室1厅 | 63.49平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-0f1f34e9-5052-4239-bb51-ee7270ccc3f3.png.296x216.jpg
20190504,浦东,金杨,一梯两户，双南户型，房东诚意出售，看房提前预约,420万,罗山三村  | 2室1厅 | 72.77平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-905c82cd-3a5f-4651-9b09-5d9344629725.jpeg.296x216.jpg
20190504,浦东,金杨,中楼层好房 全明户型 通透 近久金国际 近地铁新上,230万,金杨新村九街坊  | 1室1厅 | 44平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bb144125-945f-4bf3-9e3e-3f9ef394453f.jpg.296x216.jpg
20190504,浦东,金杨,弘扬雅苑 3室2厅 920万,920万,弘扬雅苑  | 3室2厅 | 114.73平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-78bf8939-16ac-496a-a39a-447ecb7a90f6.jpg.296x216.jpg
20190504,浦东,金杨,双南双阳台，商品房户型，中间楼层，诚意出售新上,430万,香山新村西北街坊  | 2室1厅 | 75.79平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e1f5da12-11d6-436b-86fd-fcba1683a3c0.jpg.296x216.jpg
20190504,浦东,金杨,金杨新村八街坊 3室1厅 480万,480万,金杨新村八街坊  | 3室1厅 | 97.06平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-9267895e-d147-42df-babe-638ed2239ae9.jpg.296x216.jpg
20190504,浦东,金杨,一楼客厅带窗户，不潮湿，满五唯一,260万,罗山一村  | 1室2厅 | 49.92平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-be305b32-890b-42f5-b5f6-de9237877603.jpg.296x216.jpg
20190504,浦东,金杨,香山少有电梯南北两房，售后公房，看房方便,380万,香山新村东南街坊  | 2室1厅 | 75.11平米 | 南 北 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-af33a94d-dbd3-4b46-8278-3e24fe547f24.jpg.296x216.jpg
20190504,浦东,金杨,香山新村东南街坊，实用户型，面积无浪费，近地铁。,265万,香山新村东南街坊  | 2室1厅 | 51.66平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-608b0f6d-fe9f-494c-a2de-61ef84f49a89.png.296x216.jpg
20190504,浦东,金杨,军官分房，小区环境人文环境优质！,373万,罗山八村  | 2室1厅 | 73.9平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-7e3cf192-dfd6-4da6-92cb-06cfe4127fe1.png.296x216.jpg
20190504,浦东,金杨,诚意出售，房型正气，东边套全明,210万,罗山七村  | 1室1厅 | 44.56平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9fb8ff21-dc8a-4ebb-90b6-560ce6296269.jpeg.296x216.jpg
20190504,浦东,金杨,一手动迁，满五唯一，精装修，拎包入住，采光好,500万,黄山新村  | 2室1厅 | 59.7平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8965f271-e743-4c07-9d30-c1d1e0275886.jpg.296x216.jpg
20190504,浦东,金杨,房东急售 动迁满五唯一 看房方便 采光好 价格可谈房主自荐,278万,金杨新村九街坊  | 2室1厅 | 58.3平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-696e3588-6012-43ec-98a3-33c10fff4003.png.296x216.jpg
20190504,浦东,金杨,总价低 双南 南北通好户型 一梯两户 婚房装修 诚售,320万,金杨新村五街坊  | 2室1厅 | 62.31平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b90465d7-5c6b-43fc-b208-14031b3720a9.jpg.296x216.jpg
20190504,浦东,金杨,视野无遮挡，健康楼层，户型方正，产权明晰,558万,黄山始信苑  | 2室1厅 | 69.11平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-26a3833d-4173-4e21-acaf-0d3f27ebd1ac.jpg.296x216.jpg
20190504,浦东,金杨,可做两房 诚意出售 楼层好 采光好 看房方便 价格可谈房主自荐,258万,金台三居  | 1室1厅 | 59.09平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2cf15070-697e-4b8e-ac34-5b5b23b87e97.jpg.296x216.jpg
20190504,浦东,金杨,此房满五唯一，小区门口，视野好，价格美丽房主自荐,285万,香山新村东北街坊  | 2室1厅 | 57.45平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0a4adfe4-ac23-4080-9cf4-6af514a449f4.jpg.296x216.jpg
20190504,浦东,金杨,，近地铁，小区环境不错,经典小户型总价低楼层好,308万,香山新村东南街坊  | 2室1厅 | 59.7平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-8d5e5c5d-8722-41ce-b469-65d5c5c92a6c.jpeg.296x216.jpg
20190504,浦东,金杨,香山新村东南街坊 电梯两房 以老年人居住,425万,香山新村东南街坊  | 2室1厅 | 75.68平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-23b3fc8e-23f7-45f6-9390-cef454020c82.jpeg.296x216.jpg
20190504,浦东,金杨,看中可谈急售，正气一房，一梯两户，税少，总价低,228万,栖山路1861弄  | 1室1厅 | 45.69平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-8f11559b-7fe1-4ce2-9c09-ea175da58c65.jpeg.296x216.jpg
20190504,浦东,金杨,中间2楼 房型正，交通方便，房东诚意出售,300万,香山新村东南街坊  | 2室1厅 | 57.34平米 | 西 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-19f81a33-25d3-4b7a-9ff5-f3f89cb0bea3.jpeg.296x216.jpg
20190504,浦东,金杨,南北精致小两房、总价低满五、看中随时可谈、诚心出售,270万,香山新村东南街坊  | 2室1厅 | 51.66平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-aa8a084b-5f44-48f0-af91-efdbd87237b9.jpg.296x216.jpg
20190504,浦东,金杨,：金杨电梯大三房，小区安静 ，精装修 ，拎包入住,620万,博山公寓  | 3室2厅 | 127.17平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-8f0eccdd-b1c7-48b5-a027-fbb2bcd29dd7.jpg.296x216.jpg
20190504,浦东,金杨,香山新村东南街坊 2室1厅 260万新上,260万,香山新村东南街坊  | 2室1厅 | 51.66平米 | 南 北 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-baeea71d-141d-4544-ab6b-491a687d99bd.png.296x216.jpg
20190504,浦东,金杨,145平大四房 三房朝南一房朝北 带145平露台 看房随时,1150万,东方知音苑  | 4室2厅 | 145.14平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-3e9656ee-e885-4171-be89-5a8d28dd531e.png.296x216.jpg
20190504,浦东,金杨,小一房，总价低，不靠马路，健身楼层，看中可签，诚意,210万,罗山七村  | 1室1厅 | 44.13平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-61317e43-4556-420c-b3c1-34f4066b172e.jpeg.296x216.jpg
20190504,浦东,金杨,房改售房满五年，一梯两户南北通，近地铁，有钥匙,348万,金杨新村三街坊  | 2室1厅 | 58.24平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b390c528-dfca-4ef0-a275-1213ef649747.jpg.296x216.jpg
20190504,浦东,金杨,满五唯一，双南户型，精装修， 拎包入住,500万,黄山新村  | 2室1厅 | 66.3平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-06f0a445-1e13-49ef-b7b6-e3b647ff84dc.jpg.296x216.jpg
20190504,浦东,金杨,金杨二街坊：60.06平、精装修20万、看房有钥匙,357万,金杨二街坊  | 2室1厅 | 60.06平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-c7cb4ae5-941b-4eae-8711-85e32603fd38.png.296x216.jpg
20190504,浦东,金杨,金杨新村五街坊 2室1厅 330万,330万,金杨新村五街坊  | 2室1厅 | 59.43平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-83ba2c72-4b2a-46b1-8167-1d394cc8c382.png.296x216.jpg
20190504,浦东,金杨,近内环，电梯3房，满五年，近地铁。诚心卖，品质小区房主自荐,980万,陆家嘴新景园  | 3室2厅 | 134.21平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d337d7ab-ec15-46f7-aa0a-ae0b2c080e2b.jpg.296x216.jpg
20190504,浦东,金杨,热闹地段，配套成熟，看房方便，房东自住！,223万,罗山四村  | 1室1厅 | 48.8平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ab89e4ec-28d4-4bda-aa19-a4280d80111c.jpg.296x216.jpg
20190504,浦东,金杨,满五唯一，双南户型，中间楼层，小区中间位置，,570万,黄山新村  | 2室1厅 | 71.89平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-48dbdbe4-8cf9-4a08-8ede-0343b26531f9.jpg.296x216.jpg
20190504,浦东,金杨,金杨新村三街坊 2室1厅 340万,340万,金杨新村三街坊  | 2室1厅 | 58.24平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-92857392-ff9b-4fa0-8986-b0707a863252.jpg.296x216.jpg
20190504,浦东,金杨,满五唯一，自住装修，边套全明，采光十足，诚意出售,608万,黄山新村  | 3室1厅 | 95.3平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c7d89cc2-6f99-49e1-93ef-4a04f8d2fc39.jpg.296x216.jpg
20190504,浦东,金杨,一楼带天井，小两房，客厅带窗户的，全明户型,288万,香山新村东南街坊  | 2室1厅 | 51.8平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9faef3df-06d4-4df3-9288-ea5e058c8693.jpg.296x216.jpg
20190504,浦东,金杨,满五年唯一，位置好，全明户型，客厅带边窗房主自荐,325万,罗山五村  | 2室1厅 | 63.6平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e33f08fd-d371-4632-a0f2-a2cd43e1f11e.jpg.296x216.jpg
20190504,浦东,金杨,黄山新村 满五唯一 南北户型 采光通透,480万,黄山新村  | 2室1厅 | 66.78平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1a42388d-cfa0-4991-8840-2add197e3032.jpg.296x216.jpg
20190504,浦东,金杨,金芝苑+中环内+顶楼复式+精装修+可拎包入住+诚心出售,660万,金芝苑  | 3室2厅 | 133.52平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2d186d48-7889-4949-9ed1-de41a0c5e70c.jpg.296x216.jpg
20190504,浦东,金杨,九街坊精装南北两房，房东诚意出售，看房方便,270万,金杨新村九街坊  | 2室1厅 | 54.72平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8c5666bc-82b7-445a-9329-b129c8493192.jpg.296x216.jpg
20190504,浦东,金杨,拎包入住+精装带地暖钻石二楼+采光佳+产权清晰房主自荐,272.6万,金杨新村三街坊  | 2室1厅 | 44.56平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b4f97e1f-c104-4187-aa7f-c025d82e5e2a.jpg.296x216.jpg
20190504,浦东,金杨,罗山一村+采光好+精装修+满五唯一,255万,罗山一村  | 1室1厅 | 52.52平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f09da5cc-0479-4a53-99ab-4f8fe1ec550d.jpg.296x216.jpg
20190504,浦东,金杨,中内环间，双楠大全明两房，自住装修，满五唯一税少！,330万,金杨七街坊  | 2室1厅 | 68.03平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-f5e7de02-e595-4313-a056-8bca464d88eb.png.296x216.jpg
20190504,浦东,金杨,商品房，花园位置，产权清晰，无抵押无贷款，,565万,龙居花苑  | 2室2厅 | 86平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1a374bce-caaa-4716-9f8a-7af663523744.jpg.296x216.jpg
20190504,浦东,金杨,1梯2户，小区央座，满五唯一，出行方便，配套成熟,480万,金樟花苑  | 2室1厅 | 78.11平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-805ae8c6-2576-44db-ac6d-929f31be45eb.jpg.296x216.jpg
20190504,浦东,金杨,附带有140平露台 南北通透 03年品质小区，无抵押贷款,720万,兴和苑  | 2室2厅 | 96.26平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-c1ce56ee-40c0-4921-9f49-4b50dc2e780d.png.296x216.jpg
20190504,浦东,金杨,单价便宜的一房，全明户型，近地铁，拎包入住,228万,银山小区  | 1室1厅 | 43.64平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-89afa6ac-8f2b-47fe-8e05-82e15d3aa198.png.296x216.jpg
20190504,浦东,金杨,《带地下产权车位》少有大平层，中间楼层，看房随时,950万,住友名人花园  | 3室2厅 | 125.43平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-21e0d9b8-65b0-4e5e-b1d8-45abeed8c1e2.jpg.296x216.jpg
20190504,浦东,金杨,电梯房，上下楼方便，采光通风，整齐大三房，舒适方便房主自荐,485万,香山新村东南街坊  | 3室1厅 | 95.68平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-be0b7316-461c-4dc8-9823-063f7cdec9e2.jpg.296x216.jpg
20190504,浦东,金杨,近建平，1999年一梯两户，2楼小区央座，联系维护人,730万,弘扬公寓  | 2室1厅 | 96.12平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-68113c1a-eea8-421d-9725-696092c2891c.jpg.296x216.jpg
20190504,浦东,金杨,小区好位置，房东自住，保持很好，好房型，带地下车位,720万,蝶恋园  | 3室2厅 | 123平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b399ec3e-07bc-48cc-8950-783020036f20.jpg.296x216.jpg
20190504,浦东,金杨,适合一家三代人住，楼层好，视野宽阔，,1160万,弘扬雅苑  | 4室2厅 | 152.07平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-1c5c583f-69b6-40f0-89ab-03766a69eb29.jpg.296x216.jpg
20190504,浦东,金杨,精装修.健身楼层.地铁房.房东诚意卖.,530万,仁和花苑  | 3室2厅 | 94.24平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-bfb626b8-ce8b-424e-91b0-ef1a05333009.jpg.296x216.jpg
20190504,浦东,金杨,满五年唯一，楼层好，地铁近，交通方便,250万,金杨七街坊  | 1室1厅 | 49平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-07f46db5-96a9-46c1-8064-cc67857877a7.jpg.296x216.jpg
20190504,浦东,金杨,香山新出两房《好楼层+一梯两户全明》地铁6+9号线,360万,香山新村东南街坊  | 2室1厅 | 62.27平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-07e09b8d-5671-4bef-add6-0cb0099badee.jpg.296x216.jpg
20190504,浦东,金杨,6号线德平路地铁口100米，双南全明户型，交通便利,335万,艾山新村  | 2室1厅 | 75.59平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e8e5c8f1-74c8-482b-b746-ef1c34b110d9.jpg.296x216.jpg
20190504,浦东,金杨,地铁9号线，叁轨交通（6+9+14）家乐福,动迁满五年唯一,460万,金杨新村四街坊  | 3室1厅 | 74.64平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-68e76876-6ea2-44df-be59-7494661ea40c.png.296x216.jpg
20190504,浦东,金杨,商品房全明户型，满五唯一，无增值税，看房方便,450万,金杨路750弄  | 2室2厅 | 83.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-ff65007d-4998-4749-a09a-c4410169190d.png.296x216.jpg
20190504,浦东,金杨,小区花园位置十双南全明户型十中层精装十诚心出售房主自荐,350万,金杨二街坊  | 2室1厅 | 57.93平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-de97a9d0-a7bf-4828-9dc1-6607332f4eea.png.296x216.jpg
20190504,浦东,金杨,金杨七街坊 2室1厅 330万,330万,金杨七街坊  | 2室1厅 | 65.52平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9dd8b742-42ed-4145-ab65-22ff149c90a5.jpg.296x216.jpg
20190504,浦东,金杨,金杨新村八街坊 2室1厅 358万,358万,金杨新村八街坊  | 2室1厅 | 80.26平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-bf855cd8-48aa-44b2-bf73-b8c47b490dc0.jpg.296x216.jpg
20190504,浦东,金杨,闹中取静 视野开阔 户型正气 通风好,270万,罗山三村  | 1室1厅 | 53.35平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-25228085-49a7-47a5-a987-2cd545c58472.jpg.296x216.jpg
20190504,浦东,金杨,大两房，黄山始信苑，满五年，位置安静，楼层佳,650万,黄山始信苑  | 2室1厅 | 80.9平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-efebaa56-b693-40a4-abff-8b6dff1f0ff2.jpg.296x216.jpg
20190504,浦东,金杨,金杨七街坊 1室1厅 245万,245万,金杨七街坊  | 1室1厅 | 47.73平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-b0cac7ae-2a84-44e4-a44b-94bf4e702d7f.png.296x216.jpg
20190504,浦东,金杨,满五唯一+双南中装+诚心出售+厨卫并列朝北+看房方便,318万,银山路185弄  | 2室2厅 | 73.15平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3a9fbe62-2258-4545-8d4c-fdce9bf5c2b3.jpg.296x216.jpg
20190504,浦东,金杨,2003年动迁房，两房朝南厅朝南，全明精装，20平阁楼,648万,始信北苑  | 2室2厅 | 83.41平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2d9094ed-a1df-4fa1-8976-338d1dabde67.jpg.296x216.jpg
20190504,浦东,金杨,精装修标准3房 复式房，满五唯一 带2个固定车位,750万,栖山苑  | 2室2厅 | 96.64平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-33833b18-b5d3-4088-ba5f-2e6eb05b8be6.jpg.296x216.jpg
20190504,浦东,金杨,双南两房+景观楼层+近内环线+精装修+随时看房,390万,锦绣河山  | 2室2厅 | 73.84平米 | 西南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-478c54e5-c5fe-4fbe-90f9-90238f52387f.png.296x216.jpg
20190504,浦东,金杨,业主精装自住，双南全明户型、满五年唯一，一梯两户。,370万,金杨新村十一街坊  | 2室1厅 | 73.65平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-bdea4f50-4a03-4837-8895-c97539a54043.png.296x216.jpg
